B,G,R,Color
36,59,149,Orange
7,10,42,Orange
49,58,181,Orange
129,136,135,Orange
135,187,185,Orange
67,115,227,Orange
61,59,91,Orange
77,110,243,Orange
60,82,101,Orange
92,151,166,Orange
22,40,83,Orange
131,187,219,Orange
136,187,217,Orange
125,173,190,Orange
28,36,86,Orange
48,54,97,Orange
83,109,242,Orange
24,43,77,Orange
66,113,244,Orange
69,81,98,Orange
133,188,216,Orange
134,185,210,Orange
85,118,250,Orange
6,13,36,Orange
1,13,51,Orange
37,78,213,Orange
25,37,83,Orange
21,81,247,Orange
21,71,238,Orange
28,77,238,Orange
36,94,255,Orange
45,81,118,Orange
20,33,99,Orange
40,76,118,Orange
5,10,57,Orange
37,87,251,Orange
28,86,247,Orange
6,10,45,Orange
0,61,203,Orange
5,65,204,Orange
21,62,57,Orange
11,64,188,Orange
4,6,9,Orange
4,7,8,Orange
1,7,10,Orange
8,9,18,Orange
16,44,137,Orange
12,6,27,Orange
6,40,132,Orange
2,6,11,Orange
0,10,18,Orange
0,16,61,Orange
2,4,15,Orange
5,4,19,Orange
2,59,190,Orange
8,70,196,Orange
8,63,191,Orange
6,69,195,Orange
11,28,66,Orange
13,63,200,Orange
5,61,190,Orange
61,61,35,Green
22,54,15,Green
34,67,17,Green
110,174,72,Green
75,128,55,Green
110,178,85,Green
110,178,85,Green
105,176,87,Green
100,175,81,Green
99,174,67,Green
90,169,61,Green
99,172,68,Green
100,175,73,Green
98,176,82,Green
94,169,83,Green
40,45,23,Green
57,53,32,Green
30,49,26,Green
22,73,107,Green
16,128,24,Green
23,131,30,Green
31,129,24,Green
17,125,32,Green
109,99,100,Green
128,107,97,Green
121,108,96,Green
120,107,97,Green
24,124,24,Green
32,123,29,Green
121,109,93,Green
119,107,91,Green
6,23,8,Green
25,125,28,Green
24,68,102,Green
106,100,98,Green
75,168,75,Green
18,53,40,Green
94,173,94,Green
55,81,57,Green
117,180,112,Green
62,137,94,Green
74,164,92,Green
70,173,97,Green
37,75,84,Green
77,167,98,Green
80,167,89,Green
82,119,75,Green
118,181,111,Green
95,151,95,Green
52,59,67,Green
23,67,52,Green
70,79,73,Green
90,100,84,Green
19,54,44,Green
64,99,122,Green
17,48,64,Green
42,58,55,Green
52,65,59,Green
86,81,70,Green
74,161,97,Green
72,164,103,Green
34,53,57,Green
42,106,97,Green
100,98,99,Green
40,67,60,Green
87,84,75,Green
78,145,34,Green
21,39,58,Green
10,27,68,Green
1,23,68,Green
