B,G,R,Color
190,181,177,White
185,179,175,White
172,162,157,White
175,172,166,White
182,175,169,White
184,184,184,White
178,182,182,White
184,191,190,White
199,191,185,White
195,192,186,White
198,198,198,White
190,193,193,White
177,185,184,White
175,180,180,White
181,191,191,White
190,194,194,White
197,197,197,White
196,191,186,White
195,194,194,White
185,186,176,White
100,100,101,Yellow
130,180,205,Yellow
136,194,220,Yellow
133,205,230,Yellow
148,216,240,Yellow
86,207,185,Yellow
84,205,184,Yellow
92,207,187,Yellow
89,211,192,Yellow
85,214,191,Yellow
80,205,183,Yellow
88,206,189,Yellow
89,214,191,Yellow
145,216,235,Yellow
140,214,230,Yellow
139,196,219,Yellow
118,166,182,Yellow
80,205,182,Yellow
82,213,191,Yellow
100,184,173,Yellow
111,179,205,Blue
108,176,196,Blue
112,181,205,Blue
165,161,159,Blue
30,40,48,Blue
92,165,190,Blue
107,193,225,Blue
107,187,221,Blue
132,204,228,Blue
135,201,227,Blue
202,105,27,Blue
202,104,32,Blue
130,53,14,Blue
53,26,14,Blue
206,95,6,Blue
214,94,8,Blue
201,97,24,Blue
196,98,35,Blue
200,102,32,Blue
199,102,29,Blue
11,44,136,Red
5,33,130,Red
0,33,128,Red
10,30,131,Red
11,30,133,Red
12,35,120,Red
15,37,123,Red
33,33,58,Red
19,43,133,Red
7,43,134,Red
14,34,133,Red
9,32,131,Red
6,31,130,Red
12,38,121,Red
24,38,120,Red
23,46,126,Red
10,34,131,Red
3,34,135,Red
3,37,126,Red
10,31,86,Red
54,104,252,Orange
61,107,255,Orange
59,109,255,Orange
56,111,255,Orange
42,74,196,Orange
70,117,255,Orange
76,111,254,Orange
33,32,76,Orange
22,49,152,Orange
67,111,255,Orange
45,58,168,Orange
60,105,255,Orange
60,106,255,Orange
63,116,255,Orange
64,116,255,Orange
68,118,255,Orange
69,117,255,Orange
67,120,255,Orange
68,121,255,Orange
67,122,255,Orange
40,146,38,Green
44,150,50,Green
56,155,77,Green
65,162,81,Green
57,155,53,Green
58,157,50,Green
73,159,51,Green
64,160,57,Green
66,160,75,Green
71,159,78,Green
70,160,83,Green
67,155,82,Green
57,149,49,Green
61,157,59,Green
73,160,68,Green
75,156,59,Green
73,155,65,Green
72,145,60,Green
70,149,74,Green
82,152,98,Green
